date,new_local,new_local_asy,new_imported,new_imported_asy
2022/3/1,1,1,37,17
2022/3/2,3,5,39,19
2022/3/3,2,14,43,21
2022/3/4,3,16,24,10
2022/3/5,0,28,25,10
2022/3/6,3,45,32,16
2022/3/7,4,51,36,10
2022/3/8,3,62,26,10
2022/3/9,4,76,42,16
2022/3/10,11,64,32,10
2022/3/11,5,78,22,9
2022/3/12,1,64,13,1
2022/3/13,41,128,16,2
2022/3/14,9,130,12,3
2022/3/15,5,197,10,1
2022/3/16,8,150,15,6
2022/3/17,57,203,10,2
2022/3/18,8,366,12,6
2022/3/19,17,492,5,2
2022/3/20,24,734,17,2
2022/3/21,31,865,8,3
2022/3/22,4,977,10,4
2022/3/23,4,979,10,3
2022/3/24,29,1580,12,5
2022/3/25,38,2231,9,2
2022/3/26,45,2631,6,2
2022/3/27,50,3450,10,4
2022/3/28,96,4381,11,1
2022/3/29,326,5656,3,2
2022/3/30,355,5298,3,1
2022/3/31,358,4144,7,1
2022/4/1,260,6051,2,0
2022/4/2,438,7788,6,1
2022/4/3,425,8581,8,4
2022/4/4,268,13086,3,2
2022/4/5,311,16766,4,1
2022/4/6,322,19660,7,1
2022/4/7,824,20398,4,3
2022/4/8,1015,22609,2,2
2022/4/9,1006,23937,9,2
2022/4/10,914,25173,3,0
2022/4/11,994,22348,4,1
2022/4/12,1189,25141,1,0
2022/4/13,2573,25146,0,1
2022/4/14,3200,19872,0,1
2022/4/15,3590,19923,4,2
2022/4/16,3238,21582,2,0
2022/4/17,2417,19831,3,0
2022/4/18,3084,17332,0,2
2022/4/19,2494,16407,1,1
2022/4/20,2634,15861,1,2
2022/4/21,1931,15698,0,0
2022/4/22,2736,20634,0,1
2022/4/23,1401,19657,0,0
2022/4/24,2472,16983,0,1
2022/4/25,1661,15319,0,0
2022/4/26,1606,11956,0,0
2022/4/27,1292,9330,0,0
2022/4/28,5487,9545,2,2
2022/4/29,1249,8932,1,0
2022/4/30,788,7084,1,2
2022/5/1,727,6606,2,2
2022/5/2,274,5395,0,1
2022/5/3,260,4722,3,1
2022/5/4,261,4390,2,0
2022/5/5,245,4024,0,2
2022/5/6,253,3961,0,0
2022/5/7,215,3760,2,0
2022/5/8,322,3625,2,1
2022/5/9,234,2780,0,3
2022/5/10,228,1259,1,1
2022/5/11,144,1305,0,1
2022/5/12,227,1869,0,2
2022/5/13,194,1487,1,0
2022/5/14,166,1203,2,2
2022/5/15,69,869,1,0
2022/5/16,77,746,0,2
2022/5/17,96,759,,
2022/5/18,82,637,1,2
2022/5/19,88,770,,
2022/5/20,84,784,0,1
2022/5/21,52,570,1,3
2022/5/22,55,503,1,4
2022/5/23,58,422,0,1
2022/5/24,44,343,0,3
2022/5/25,48,290,1,4
2022/5/26,45,219,1,6
2022/5/27,39,131,0,0
2022/5/28,29,93,3,3
2022/5/29,6,61,0,2
2022/5/30,9,22,4,5
2022/5/31,5,10,1,4
2022/6/1,5,8,4,1
2022/6/2,8,8,2,1
2022/6/3,5,9,2,1
2022/6/4,6,16,,
2022/6/5,4,4,0,3
2022/6/6,3,7,3,6
2022/6/7,4,11,8,0
2022/6/8,4,5,0,5
2022/6/9,6,5,2,4
2022/6/10,7,9,4,3
2022/6/11,10,19,1,3
2022/6/12,11,26,2,0
