year,date,province,confirm,confirm_add,local_confirm_add,now_confirm,heal,dead,deadAdd,now_wzz,wzz_add
2020,01.20,台湾,0,0,-10,0,0,0,0,0,-10
2020,01.21,台湾,0,0,-10,0,0,0,0,0,-10
2020,01.22,台湾,1,1,-10,1,0,0,0,0,-10
2020,01.23,台湾,1,0,-10,1,0,0,0,0,-10
2020,01.24,台湾,3,2,-10,3,0,0,0,0,-10
2020,01.25,台湾,3,0,-10,3,0,0,0,0,-10
2020,01.26,台湾,4,1,-10,4,0,0,0,0,-10
2020,01.27,台湾,5,1,-10,5,0,0,0,0,-10
2020,01.28,台湾,8,3,-10,8,0,0,0,0,-10
2020,01.29,台湾,8,0,-10,8,0,0,0,0,-10
2020,01.30,台湾,9,1,-10,9,0,0,0,0,-10
2020,01.31,台湾,10,1,-10,10,0,0,0,0,-10
2020,02.01,台湾,10,0,-10,10,0,0,0,0,-10
2020,02.02,台湾,10,0,-10,10,0,0,0,0,-10
2020,02.03,台湾,10,0,-10,10,0,0,0,0,-10
2020,02.04,台湾,11,1,-10,11,0,0,0,0,-10
2020,02.05,台湾,11,0,-10,11,0,0,0,0,-10
2020,02.06,台湾,16,5,-10,15,1,0,0,0,-10
2020,02.07,台湾,16,0,-10,15,1,0,0,0,-10
2020,02.08,台湾,17,1,-10,16,1,0,0,0,-10
2020,02.09,台湾,18,1,-10,17,1,0,0,0,-10
2020,02.11,台湾,18,0,-10,17,1,0,0,0,-10
2020,02.12,台湾,18,0,-10,17,1,0,0,0,-10
2020,02.13,台湾,18,0,-10,17,1,0,0,0,-10
2020,02.14,台湾,18,0,-10,17,1,0,0,0,-10
2020,02.15,台湾,18,0,-10,17,1,0,0,0,-10
2020,02.16,台湾,20,2,-10,17,2,1,0,0,-10
2020,02.17,台湾,22,2,-10,19,2,1,0,0,-10
2020,02.18,台湾,22,0,-10,19,2,1,0,0,-10
2020,02.19,台湾,24,2,-10,21,2,1,0,0,-10
2020,02.20,台湾,24,0,-10,21,2,1,0,0,-10
2020,02.21,台湾,26,2,-10,23,2,1,0,0,-10
2020,02.22,台湾,26,0,-10,23,2,1,0,0,-10
2020,02.23,台湾,28,2,-10,25,2,1,0,0,-10
2020,02.24,台湾,30,2,-10,24,5,1,0,0,-10
