date,p_conf,n_l_conf,conf2rec,p_asy,n_l_asy,asy2rec,l_asy2conf
2022/10/1,22,3,0,128,6,0,2
2022/10/2,23,1,0,135,11,4,0
2022/10/3,25,2,0,134,14,14,1
2022/10/4,30,5,0,147,17,3,1
2022/10/5,39,11,2,161,22,8,0
2022/10/6,43,5,1,205,45,1,0
2022/10/7,54,14,3,216,29,18,0
2022/10/8,74,20,0,244,30,1,1
2022/10/9,80,9,3,250,17,11,0
2022/10/10,87,9,2,260,15,5,0
2022/10/11,91,7,3,269,28,19,0
2022/10/12,91,0,0,284,25,10,0
2022/10/13,92,2,1,299,24,8,1
2022/10/14,95,6,3,319,25,5,0
2022/10/15,101,11,5,310,26,35,0
2022/10/16,104,9,6,324,23,9,0
2022/10/17,105,9,8,327,27,24,0
2022/10/18,124,20,1,352,40,14,1
2022/10/19,143,25,6,381,50,17,4
2022/10/20,168,29,4,399,41,21,2
2022/10/21,174,13,7,423,37,13,0
2022/10/22,178,16,12,450,52,24,1
2022/10/23,195,22,5,482,59,26,1
2022/10/24,204,17,8,533,69,16,2
2022/10/25,211,12,5,549,45,27,2
2022/10/26,210,13,14,557,33,25,0
2022/10/27,217,13,6,560,35,27,5
2022/10/28,215,11,13,589,51,19,3
2022/10/29,223,25,17,592,36,27,6
2022/10/30,217,9,15,602,52,41,1
2022/10/31,215,11,13,614,44,28,4
2022/11/1,213,8,10,583,29,58,2
2022/11/2,210,17,20,570,33,44,2
2022/11/3,204,11,17,527,19,61,1
2022/11/4,190,17,31,459,15,76,7
2022/11/5,163,9,36,416,13,53,3
2022/11/6,157,7,13,380,17,50,3
2022/11/7,158,13,12,349,19,48,2
2022/11/8,155,13,16,337,16,24,4
2022/11/9,150,12,17,333,37,40,1
2022/11/10,136,5,19,316,17,33,1
2022/11/11,141,14,9,301,18,27,6
2022/11/12,146,17,12,308,39,32,0
2022/11/13,156,17,7,320,44,31,1
2022/11/14,179,40,17,480,187,22,5
2022/11/15,235,62,11,649,191,23,15
2022/11/16,331,107,6,853,245,23,2
2022/11/17,396,74,9,1409,584,28,0
2022/11/18,412,18,2,1933,541,15,2
2022/11/19,434,33,11,2660,750,11,12
2022/11/20,458,29,5,3266,637,20,11
2022/11/21,471,23,10,3962,715,13,6
2022/11/22,502,37,6,4616,693,34,5
2022/11/23,504,37,35,5312,758,54,8
2022/11/24,515,30,19,6015,793,89,1
2022/11/25,524,39,30,6728,818,99,6
2022/11/26,541,51,34,7476,902,148,6
2022/11/27,555,54,40,8188,988,272,4
2022/11/28,563,38,30,8825,900,258,5
2022/11/29,543,34,54,9204,767,382,6
2022/11/30,565,46,24,9513,686,370,7
2022/12/1,614,68,19,9870,799,435,7
2022/12/2,657,65,22,10115,878,621,12
2022/12/3,651,31,37,10320,921,712,4
2022/12/4,677,34,8,11035,1009,292,2
2022/12/5,696,44,25,11745,999,287,2
2022/12/6,715,42,23,12481,1027,291,0
2022/12/7,720,27,22,12980,848,348,1
2022/12/8,721,19,18,13336,590,234,0
